result_route	count
main	8183
main-archive	1112
main-rabota	1047
main-internet	896
main-bonus	870
main-news	769
main-tariffs	677
main-online	587
main-vklad	518
main-rabota-archive	170
main-archive-rabota	167
main-bonus-archive	143
main-rabota-bonus	139
main-bonus-rabota	135
main-news-rabota	134
main-archive-internet	132
main-rabota-news	130
main-internet-rabota	129
main-archive-news	126
main-internet-archive	123
main-rabota-internet	123
main-archive-bonus	116
main-internet-bonus	115
main-tariffs-internet	114
main-news-archive	112
main-news-internet	109
main-archive-tariffs	104
main-internet-news	103
main-tariffs-archive	103
main-rabota-main	94
